3406,1135,2021-11-21
940,1310,2022-05-13
2699,4361,2021-04-05
4318,3403,2021-11-04
2223,996,2021-11-12
1500,1418,2022-02-14
3059,4846,2022-04-01
244,236,2022-07-23
1088,3129,2021-11-19
2236,3901,2021-03-28
2575,2454,2021-09-06
2840,4896,2021-11-10
690,1462,2022-05-17
1039,3559,2021-10-21
2395,1701,2021-06-03
4057,1213,2021-02-15
3077,911,2022-05-16
2627,4580,2021-05-22
690,2239,2022-06-16
3425,4484,2021-01-08
3164,2125,2021-05-25
3598,2824,2021-06-04
470,725,2022-04-15
4245,4281,2021-11-05
1663,1054,2022-01-22
4280,4663,2021-05-08
3658,3290,2022-04-09
4716,3386,2022-04-08
1869,3259,2021-05-08
1417,4123,2022-06-21
4030,4373,2021-06-10
3616,4444,2022-01-03
2030,4571,2022-03-20
3786,3037,2022-08-28
3414,4670,2021-12-23
825,2748,2022-06-20
2718,4323,2021-02-07
351,2187,2021-12-12
3458,1672,2021-04-10
3593,4410,2021-12-29
1845,2127,2022-05-03
835,2229,2021-02-10
4376,2769,2021-01-12
258,3653,2021-04-23
3772,1402,2022-04-14
1366,4111,2022-07-07
2930,2321,2022-08-03
4243,550,2021-10-05
2206,4526,2021-11-10
445,1925,2021-08-29
2960,4000,2021-10-14
4284,1229,2022-01-23
3626,4322,2021-02-18
2336,3670,2021-09-28
1670,362,2022-01-12
3702,1874,2021-03-17
243,1288,2021-05-09
1743,2254,2021-08-17
2797,2577,2022-03-31
3855,724,2022-02-05
978,1876,2022-01-02
2349,4537,2021-06-16
677,245,2021-06-21
4365,1270,2021-11-12
1164,1593,2021-01-21
4885,2892,2021-12-21
2183,4798,2021-06-02
4391,4322,2021-09-18
3642,1457,2022-04-22
1238,443,2021-05-03
4772,838,2021-02-28
1768,1746,2022-03-27
3491,4494,2021-02-15
1175,3479,2021-08-10
890,3169,2022-03-16
2955,2463,2021-06-06
3128,355,2021-10-24
3632,3669,2021-05-15
1708,4421,2021-11-18
161,4245,2022-01-30
766,4066,2021-06-13
1207,1244,2021-03-27
2610,1723,2021-11-03
1964,3721,2021-04-04
3612,2922,2021-01-04
1551,4117,2022-08-20
757,4005,2022-05-20
4373,537,2022-04-03
2099,2221,2021-08-07
2133,4227,2021-04-03
4200,1758,2022-05-29
2786,3733,2021-02-08
1059,2999,2022-05-17
4479,58,2022-04-23
1145,2645,2022-02-24
130,4607,2021-02-17
2419,4549,2021-04-25
2456,2431,2021-09-02
3827,2661,2021-07-10
1659,2601,2021-09-06
1326,2025,2021-10-08
809,302,2021-08-26
2387,4546,2021-11-30
1524,1364,2021-05-25
2191,3125,2022-06-19
1250,3208,2021-12-18
3169,2091,2022-04-09
1426,4220,2022-04-24
4789,4170,2021-08-10
1176,458,2021-07-11
718,3452,2022-07-07
1434,3298,2021-10-28
358,3335,2021-05-28
1060,4342,2021-12-23
4024,2418,2021-05-06
2648,1481,2021-01-20
3299,1384,2021-11-20
3880,1826,2022-03-30
3943,304,2021-11-12
105,1567,2022-03-23
3547,1373,2022-06-16
1124,201,2022-08-24
4073,4208,2021-03-01
442,3459,2021-04-20
1494,335,2021-08-06
4563,4159,2021-11-14
3179,1306,2021-01-27
4785,3337,2021-03-31
3514,1179,2022-03-30
2768,4167,2021-11-12
2740,2899,2022-02-22
2208,1500,2022-04-08
3297,1003,2022-08-22
2885,2045,2021-12-29
1596,104,2021-06-04
3585,2611,2021-05-24
1364,4037,2022-05-13
1765,1138,2021-09-12
3288,2540,2021-08-28
1664,4520,2021-08-20
3617,2927,2021-02-16
1818,3386,2021-11-01
613,4137,2021-11-05
907,1228,2021-06-12
3546,2456,2021-10-04
553,3064,2021-02-23
677,4186,2022-05-15
377,4025,2021-10-25
3171,3382,2022-01-29
2097,3598,2021-12-17
1993,4005,2022-04-08
4523,1195,2021-12-18
393,4712,2022-04-20
1952,783,2021-01-06
1213,4085,2021-01-30
1236,2336,2021-10-28
2966,2845,2021-07-01
1929,1219,2022-05-17
160,4893,2021-07-09
3225,2084,2022-04-10
4836,1862,2022-05-14
3078,3993,2022-01-07
4329,1549,2021-06-06
3988,4450,2022-03-04
1781,915,2021-09-26
2196,3025,2022-03-18
3892,3419,2021-10-28
3569,189,2022-03-12
3471,1416,2022-08-24
477,2113,2021-04-13
2716,95,2021-05-31
10,2567,2021-12-24
4208,4503,2022-03-24
380,2397,2022-03-02
4251,1688,2021-10-09
2934,4030,2022-04-06
182,3325,2022-08-07
614,3954,2022-01-04
3333,4609,2021-12-14
216,1170,2022-03-19
3139,1692,2021-02-06
4409,2700,2021-04-14
3737,1169,2021-07-22
4879,2835,2022-05-07
349,4477,2021-12-24
370,3511,2021-04-11
2585,57,2021-06-03
4827,1978,2021-10-09
1517,4296,2021-08-13
3606,2232,2021-12-21
4632,2774,2021-07-23
975,290,2021-01-01
1947,1285,2021-03-18
1655,3407,2022-08-12
3822,879,2022-06-15
3840,3971,2021-08-09
637,1468,2022-05-05
3263,2402,2022-06-09
2340,1503,2021-02-23
1094,1088,2022-04-25
1552,641,2022-01-17
979,2589,2021-08-22
2155,4932,2021-09-25
2787,627,2022-04-17
1511,4850,2021-08-13
4407,1298,2022-02-11
228,4925,2021-06-17
2490,3805,2021-02-06
4621,1174,2021-11-14
1067,112,2021-10-23
120,443,2021-06-22
4913,1081,2021-07-26
3601,1267,2021-07-11
2014,442,2022-03-27
3907,4608,2021-01-21
4267,3418,2021-05-17
967,1280,2021-12-22
2306,1051,2022-05-24
4174,646,2022-01-01
4581,2726,2022-05-25
2189,521,2021-10-12
2420,3170,2021-10-22
1914,1636,2022-03-24
1369,3900,2021-05-20
631,4185,2022-03-09
3914,3066,2021-12-31
1886,596,2021-02-15
457,2984,2021-10-17
2832,1819,2021-10-11
4347,3040,2021-12-08
4276,141,2021-04-15
2798,2798,2021-07-25
2766,1792,2021-09-27
1424,914,2021-09-16
4727,2950,2022-03-25
1530,3863,2022-01-31
1071,4015,2021-05-25
1781,604,2021-01-03
4141,2687,2022-06-18
2567,4294,2021-10-22
1315,787,2022-02-07
818,4512,2021-07-26
3377,2912,2021-05-10
103,4404,2021-01-21
2114,2030,2022-02-03
3854,3719,2021-05-30
1174,1987,2022-03-15
3436,3107,2021-09-14
35,2830,2022-07-09
4635,2731,2022-05-17
577,1902,2021-02-03
448,3638,2021-03-26
537,4256,2022-01-16
41,858,2021-04-19
2419,1714,2022-06-10
3259,456,2022-04-25
4439,4394,2021-07-11
3022,403,2022-04-04
1194,2555,2021-07-25
898,1147,2021-05-01
2991,4896,2021-12-25
2395,4287,2021-05-06
3963,1710,2021-06-27
3930,3371,2022-01-01
1038,3009,2021-04-20
