4310,4
4762,16
931,15
3399,2
4559,25
4184,19
2351,13
1414,2
1925,23
3919,18
2792,9
1812,22
1847,2
3297,25
1997,21
3611,4
575,20
3885,12
3307,16
1182,8
3674,5
4213,12
1815,21
4894,18
460,17
4377,12
1057,22
4824,3
4573,17
3947,12
3907,7
434,9
1829,3
3135,24
4571,4
1431,2
4594,18
4403,19
3207,15
1036,23
788,23
557,2
2873,3
2110,11
417,17
341,1
3679,11
2260,24
2137,12
355,10
2439,25
2058,12
4379,14
3677,8
3251,9
1544,8
407,2
3169,7
1251,4
4039,8
933,17
4797,22
1206,19
1749,17
683,5
561,20
2531,16
2521,22
3765,22
3876,12
350,5
2095,7
4561,20
790,25
1661,25
4873,6
3288,5
3735,7
1314,20
2039,4
2884,4
4978,7
1305,7
3011,13
3626,6
1740,9
4089,8
1791,3
3229,3
1520,17
595,18
1403,14
4552,24
4374,14
2074,6
3021,7
4969,25
2344,22
1484,24
1109,16
2507,5
4979,17
1465,20
2168,1
2989,15
2165,18
3495,18
4101,4
3963,3
4628,3
711,14
3522,14
1884,1
3088,19
4516,10
2865,15
3237,1
678,13
2107,13
284,1
2222,25
4158,14
3693,25
38,24
1930,21
4457,23
3965,8
1879,24
54,4
911,21
4457,14
378,18
232,21
1813,4
2425,11
838,3
146,9
4037,6
3871,23
2352,2
4265,4
254,18
3202,24
1358,19
3617,6
407,18
616,16
1386,15
2619,21
1394,18
2364,1
1611,25
3643,25
2621,1
1755,25
1511,23
110,8
2046,6
4723,21
4882,20
2371,16
2804,3
3051,15
3701,14
509,4
4611,3
3365,18
1488,25
627,17
1274,13
1535,10
329,10
1445,25
2638,11
1297,18
2067,23
4653,21
235,15
4762,4
252,1
3759,9
3038,17
1487,23
139,18
1711,20
1986,4
1561,12
3043,22
1374,12
894,10
239,18
1089,22
2428,22
216,23
4984,19
899,24
2736,14
284,11
1130,1
2278,12
1765,24
4743,24
4481,1
764,2
121,13
3039,10
1881,22
1789,12
860,7
464,12
4747,10
4099,8
4504,2
2982,7
4103,3
2140,8
1359,7
73,17
2548,6
4991,22
874,18
4385,3
3567,13
189,21
4414,5
3938,18
909,7
4136,9
1424,24
4446,4
3762,13
4872,21
4209,22
1192,3
3294,16
4305,9
2228,2
3997,19
169,25
1323,22
3958,7
349,3
2490,19
3001,12
178,18
3539,24
1190,23
1707,8
2983,5
1474,14
1786,13
3948,19
4703,19
3880,21
3447,6
3392,6
1608,22
3413,24
3819,24
4907,12
3131,16
2140,5
114,14
4374,3
989,11
2506,5
4517,21
1724,10
1400,12
1664,20
736,6
4873,11
3060,15
4523,14
2327,1
510,1
3189,6
1953,17
1054,11
564,7
2056,16
1656,1
4860,10
3722,25
83,1
389,25
3704,3
3240,11
668,13
3658,6
3612,5
2599,10
4459,20
4891,2
2147,14
4316,23
3541,17
2480,21
3004,15
3101,20
3795,11
773,2
3511,1
434,25
4903,16
1384,4
77,9
4061,13
2385,6
4744,15
2626,11
4296,18
1473,22
1789,4
2976,24
3451,23
2928,5
3336,11
3664,23
4003,16
3315,22
1683,19
297,18
3544,19
3053,13
2849,8
4982,8
4087,25
3639,5
3460,23
3271,8
1724,22
1890,7
975,18
1669,15
4061,9
2464,25
4674,13
3430,14
2152,9
370,25
4932,22
727,18
1544,1
1135,17
386,14
4139,9
2973,17
3151,20
4504,11
520,15
2952,1
4546,15
2943,11
2793,7
1094,20
4213,2
1777,11
2511,10
572,23
4875,8
4114,15
2124,22
1540,20
4451,23
2145,2
1300,10
1632,6
1101,20
4869,23
3395,15
4262,21
2732,5
4763,22
923,16
282,10
766,22
1131,12
4878,12
4799,13
4368,15
1974,5
1846,6
676,17
688,13
1512,5
195,22
2351,24
3275,20
2255,21
4654,14
1886,22
4659,3
3139,7
2219,21
1737,9
2386,6
357,13
2137,9
271,17
1680,8
4283,16
2105,25
2114,7
239,4
2331,4
1165,4
406,11
2051,25
382,20
4706,3
1782,24
2953,16
2809,15
1707,3
1250,22
1208,18
1784,24
4212,25
2451,9
2877,10
1541,21
2690,14
681,12
3787,25
3902,25
4080,25
3455,4
4781,17
2194,5
3859,25
1288,20
2378,1
4388,14
1836,6
2407,7
3841,8
914,23
1614,25
4404,7
933,16
4023,4
1579,6
4838,3
1918,15
2523,22
3941,8
2556,13
1124,4
3866,4
1022,11
3516,19
4421,21
4522,1
412,1
1050,22
4640,11
1075,14
1219,10
4268,4
3776,24
1770,24
653,14
1230,8
591,17
909,12
362,22
1971,9
4452,1
1261,14
763,7
1667,13
3575,13
3589,9
2525,8
3825,24
1833,9
11,5
2414,18
3318,22
572,22
457,23
1318,15
3534,6
4303,15
311,18
410,8
3908,14
4773,6
4994,4
1072,13
1328,18
3559,6
4139,16
380,24
609,24
1496,18
2782,22
3011,22
1096,3
2408,11
2483,1
3680,2
1197,24
3281,19
4546,2
2800,8
4917,8
1034,22
415,21
4143,11
1780,19
2494,4
4408,5
3174,4
4346,3
2817,25
1322,4
4357,11
4940,11
3401,10
2081,9
586,13
494,1
2268,12
2322,22
3386,20
4862,24
2154,21
3197,24
1914,6
955,13
1459,8
3760,18
1653,10
655,6
466,21
4285,4
2982,12
3060,16
2761,12
3547,2
303,14
3202,14
3794,2
1628,23
2915,7
4542,12
141,19
567,25
1612,16
4487,9
477,8
857,20
712,9
3171,4
3280,9
4356,14
2653,6
4520,15
234,25
24,20
1550,12
1088,11
3747,22
4121,7
544,9
2705,4
3208,11
1007,6
461,11
2166,6
2621,4
2779,2
4555,13
4286,14
146,8
3204,25
957,15
131,3
2034,22
2708,4
859,4
2115,14
4306,6
829,1
1965,19
3513,1
2297,9
4170,2
631,1
362,17
4535,24
4968,12
2396,17
1294,3
3550,16
4627,17
512,19
3163,22
2576,23
3790,15
1177,15
3916,18
1120,25
4104,22
3642,22
1658,21
2781,9
2294,17
2495,11
3645,9
3281,3
699,13
1642,10
4487,15
4769,12
2101,9
3073,19
2840,14
3785,15
278,2
2440,14
2724,24
2961,7
3175,15
3599,18
256,8
758,9
4166,20
3501,17
1499,22
1156,6
2715,3
256,9
4846,11
2309,10
1629,4
3893,15
4035,13
1000,7
1508,25
2965,4
2219,13
1609,18
4718,18
3615,13
1639,14
3910,4
2270,24
1790,21
2548,24
4148,23
362,16
143,10
4613,12
1451,19
4623,1
15,5
2260,8
1830,20
1647,9
2284,7
4494,12
234,17
1488,20
346,6
4126,7
2085,6
187,10
980,12
266,5
601,9
2946,5
1095,19
3535,17
1796,1
4934,22
3819,12
1074,19
462,2
2113,7
2937,14
347,10
3576,16
4048,12
1282,15
708,25
4897,15
3163,4
4718,14
733,22
4948,11
3781,12
2928,13
404,3
1767,24
1207,17
4292,12
4798,25
1794,3
3837,10
1793,16
3925,9
1961,15
1577,14
881,2
493,6
184,1
3632,20
2257,11
698,11
4040,5
1177,12
4129,16
4263,11
3546,19
4237,15
2208,10
1951,25
1106,15
1654,16
1450,16
3054,16
710,12
3656,10
1268,11
465,23
1541,11
1999,22
3336,25
4697,1
1697,21
2521,10
4293,2
690,17
1925,15
4063,25
3646,8
3146,9
4077,10
4774,19
471,21
3128,16
3211,4
213,24
150,10
2616,15
1551,4
3577,14
2971,23
975,10
1669,10
2467,24
4145,16
2189,10
2134,9
1041,15
1953,14
4761,15
4510,11
2596,18
4802,19
973,7
2184,3
1683,19
335,5
2276,16
2040,15
4170,4
4377,4
3317,22
838,20
426,16
12,11
3780,11
102,15
1867,8
1733,15
1253,3
2348,22
4898,8
1637,10
4587,13
636,18
4379,12
641,1
2877,2
2741,11
